chart,age,age_units,gender,measure,measure_units,L,M,S
fenton_2013,32,weeks,m,weight,g,1.298807012,1790.184316,0.200791734
fenton_2013,32.14285714,weeks,m,weight,g,1.285413897,1821.935677,0.199597596
fenton_2013,32.28571429,weeks,m,weight,g,1.271513209,1853.986517,0.198359891
fenton_2013,32.42857143,weeks,m,weight,g,1.257139892,1886.316466,0.1970814
fenton_2013,32.57142857,weeks,m,weight,g,1.242328886,1918.905158,0.195764907
fenton_2013,32.71428571,weeks,m,weight,g,1.227115134,1951.732222,0.194413194
fenton_2013,32.85714286,weeks,m,weight,g,1.211533577,1984.77729,0.193029041
fenton_2013,33,weeks,m,weight,g,1.195619158,2018.019995,0.191615231
fenton_2013,33.14285714,weeks,m,weight,g,1.179406818,2051.439968,0.190174547
fenton_2013,33.28571429,weeks,m,weight,g,1.162931499,2085.01684,0.188709769
fenton_2013,33.42857143,weeks,m,weight,g,1.146228142,2118.730243,0.18722368
fenton_2013,33.57142857,weeks,m,weight,g,1.12933169,2152.559809,0.185719063
fenton_2013,33.71428571,weeks,m,weight,g,1.112277084,2186.485169,0.184198698
fenton_2013,33.85714286,weeks,m,weight,g,1.095099266,2220.485955,0.182665368
fenton_2013,34,weeks,m,weight,g,1.077833178,2254.541798,0.181121855
fenton_2013,34.14285714,weeks,m,weight,g,1.060513761,2288.632329,0.17957094
fenton_2013,34.28571429,weeks,m,weight,g,1.043175959,2322.737181,0.178015407
fenton_2013,34.42857143,weeks,m,weight,g,1.025854711,2356.835985,0.176458036
fenton_2013,34.57142857,weeks,m,weight,g,1.008584961,2390.908372,0.17490161
fenton_2013,34.71428571,weeks,m,weight,g,0.99140165,2424.933974,0.173348911
fenton_2013,34.85714286,weeks,m,weight,g,0.97433972,2458.892423,0.171802721
fenton_2013,35,weeks,m,weight,g,0.957434112,2492.763349,0.170265821
fenton_2013,35.14285714,weeks,m,weight,g,0.940719769,2526.526385,0.168740994
fenton_2013,35.28571429,weeks,m,weight,g,0.924231633,2560.161163,0.167231021
fenton_2013,35.42857143,weeks,m,weight,g,0.908004644,2593.647313,0.165738685
fenton_2013,35.57142857,weeks,m,weight,g,0.892072918,2626.964467,0.164266719
fenton_2013,35.71428571,weeks,m,weight,g,0.876451515,2660.092257,0.162816735
fenton_2013,35.85714286,weeks,m,weight,g,0.861136447,2693.010314,0.161389224
fenton_2013,36,weeks,m,weight,g,0.846122897,2725.69827,0.15998463
fenton_2013,36.14285714,weeks,m,weight,g,0.831406048,2758.135756,0.158603394
fenton_2013,36.28571429,weeks,m,weight,g,0.816981081,2790.302405,0.157245959
fenton_2013,36.42857143,weeks,m,weight,g,0.80284318,2822.177847,0.155912768
fenton_2013,36.57142857,weeks,m,weight,g,0.788987528,2853.74259,0.154604264
